    OtG       O81qq      O11qq      O83qq      O13qq      O8qt       O1qt       O8ut       O1ut       O8qu       O1qu       O8dt       O1dt       O8qd       O1qd        OtW       OQQ1       OQQ8       OQt1      OQtQb1     OQtQb8      OQt8       OQb1       OQb8       Ott1       Otb1       Otb8        Otp       OpQM       Ofq3        Opt        Off        OtZ        ObW    
  -0.06576   -0.28163   -0.55351   -1.02210   -0.75929   -0.26246    2.52451   -4.37242   -1.07108    2.46645   -1.13432   -3.80698    0.49236    5.62145   -0.44729   -0.69987    0.70985   -3.38257    4.21439   -4.45014   -0.80129   -7.35459   -6.51172   -0.26791   11.13490    2.65691   -6.19085   -5.89565    1.64998   -1.22812    7.54120   -1.13518   -0.82625   -0.32101
   0.03072   -1.41562    5.59554    0.49805   -0.09851   -2.31891   -1.58666    1.65385   -0.82792    0.80072   -3.91204   -1.98482    2.46802   -0.11649    0.21209   -0.02944   -7.33734    5.74621    1.30491    5.77101   -9.92431   -3.84838   -8.74194   -4.44661   -2.26976    0.06038    9.46013   -9.76936   -1.24808   -0.70660    6.47363   -1.84221    0.03268   -0.08804
  -0.15008    1.74724   -1.35121   -1.41362   -1.57022    1.29320    0.40938   -3.92838    0.75719    3.35312    6.48989    0.43543   -5.57615   -0.37865   -0.20117   -0.13765    7.12702   -9.09075    2.19863   -7.34525   -4.64521   -8.81627   -3.65145    5.41929   -1.26561    7.16742    8.09008   -7.50857    1.91278   -1.62700   -6.20797    3.89796   -0.02422   -0.00506
  -0.15008    1.74724   -1.35121   -1.41362   -1.57022    1.29320    0.40938   -3.92838    0.75719    3.35312    6.48989    0.43543   -5.57615   -0.37865   -0.20117   -0.13765    7.12702   -9.09075    2.19863   -7.34525   -4.64521   -8.81627   -3.65145    5.41929   -1.26561    7.16742    8.09008   -7.50857    1.91278   -1.62700   -6.20797    3.89796   -0.02422   -0.00506
  -0.07627    0.33438   -1.66914   -4.17552   -2.06678   -0.88289    5.61162   -1.22718    0.07940   -0.08632   -5.91709    3.60960   -4.25521    8.62324   -0.97293   -1.12923    4.12989    4.32448   -4.92823    8.07434   -9.16470   -0.20288   -6.86447   -8.34504   -0.48265    1.63868    4.83432   -5.44955    3.17446   -0.56380   10.33896   -6.52711   -0.31590   -4.67489
  -0.24573    1.83025   -5.30033   -3.11078   -1.57022    2.87296    4.20038   -5.51432   -0.68075   -2.20461   -0.40276    1.45612    2.17638   10.87109   -0.96713   -0.24685   -8.62389    9.46585    6.54739    3.19061   -9.71162   -3.25306    5.53894    3.10926   -6.99572   -3.78642    5.60149    6.61031    2.47094    0.58249    8.29250    4.03272    0.97154   -0.33283
  -0.24573    1.83025   -5.30033   -3.11078   -1.57022    2.87296    4.20038   -5.51432   -0.68075   -2.20461   -0.40276    1.45612    2.17638   10.87109   -0.96713   -0.24685   -8.62389    9.46585    6.54739    3.19061   -9.71162   -3.25306    5.53894    3.10926   -6.99572   -3.78642    5.60149    6.61031    2.47094    0.58249    8.29250    4.03272    0.97154   -0.33283
  -0.00536    0.47539    1.40900   -2.12483   -1.53488   -1.45371    1.62054    3.20365   -0.04032    0.25038   -5.63745   -4.20279    1.89225    5.23738   -0.40106   -0.20749   -9.03364    9.33061    2.34512   -4.68345   -2.05040    3.87223   -6.42228   -1.30136   -5.82704    4.10643    9.75329   -8.60259    1.46674   -0.41876    2.29849   -4.91070   -0.81059   -0.73299
   0.22730    3.90761   -2.31225   -2.32199   -1.42072    0.48231    2.72342   -5.24104    0.86148   -4.16175    2.25324   -2.12482   -2.92878   -8.51016    1.89265    0.09818   -4.07045   -6.74657    1.52525    4.32477   -8.76911   11.01407    0.54653   -0.83926    8.80281   -3.73743   -4.46569   -7.76078    2.02776    0.48721    4.78122    3.98899    0.54486    0.34106
  -0.12308    0.77993   -2.99208   -3.20190   -2.85833    0.84038    3.86977   -3.26607    0.84048    3.15542    2.19380   -4.57916   -3.94429    3.52925   -0.23356   -0.19342   -6.52431   -9.69602    3.42545   -7.33322    8.34266    1.79626   -0.21026    5.34857    5.20206    8.33989    4.08138    0.02547    3.60266   -3.31679   -1.90078    9.40654   -0.61749   -2.25385
   0.02312   -4.17633   -2.64574   -0.55749   -3.40512   -0.65464    6.16913    3.17270   -2.25500    1.98028   -0.14534   -6.42630    1.32396    5.41061   -1.88839   -0.59985    0.70525   -3.60303    7.89582    2.38535    3.18229    2.81591   -5.92865   -4.41520   -2.60125    0.47837    7.49935    2.26306   -0.79716   -8.60697    4.48992    2.56271   -1.93398    0.48679
   0.02312   -4.17633   -2.64574   -0.55749   -3.40512   -0.65464    6.16913    3.17270   -2.25500    1.98028   -0.14534   -6.42630    1.32396    5.41061   -1.88839   -0.59985    0.70525   -3.60303    7.89582    2.38535    3.18229    2.81591   -5.92865   -4.41520   -2.60125    0.47837    7.49935    2.26306   -0.79716   -8.60697    4.48992    2.56271   -1.93398    0.48679
  -0.10747   -2.25688   -1.51709   -1.69581   -2.23439    0.10090    3.11334    8.89297   -1.71850   -5.93968   -5.66018   -0.98228    8.35743    7.27873   -0.64764   -0.83514    4.82985   -1.71961    6.78835   -9.10838    4.39938   -9.07093    3.13373   -3.58594    5.62280    3.03591    6.32952   -1.11877    1.78188   -3.25138   -3.51706    8.23003   -0.30450   -0.28469
   0.17479    3.95621   -0.50883   -1.67104   -0.32998   -0.06103    1.73381   -2.74258    0.16424   -2.76329   -0.90717   -3.94618   -1.90585   -7.04845    1.55430   -0.45811    3.84095   -1.78965    7.85483    2.00515    1.88029    1.27310   -4.59606    9.29180   -2.23795    2.94330   10.92989   -8.58906    1.24473    2.63537    5.76745  -10.36636    0.38603    0.50764
  -0.05234    1.13730   -3.14873   -2.62812   -1.84330    1.34910    2.44180   -6.95788    0.80116    1.95599    4.70455   -2.02479   -3.34493    3.18379   -0.00481   -0.43998   -4.71964    9.30589    5.54700    7.44524   -5.01496    5.25744    9.36825    7.86960   -4.20125   -7.11316   -0.51315   -3.43542    2.10100   -0.25259    4.10260   -0.00188   -0.22880    0.19690
   0.11584    2.40963    0.84346    0.35040   -0.62178   -0.47215   -0.65406    0.28074   -0.25131   -3.62637   -2.77882    2.66668    2.74761    3.23458   -0.23305   -0.07164   -9.63616   -6.63646   -1.18282   -7.18019    3.48414   -5.09516   -5.50056    3.81359   11.64624   -0.00195    3.27592   -7.73611   -0.59017   -2.45637   -1.21179    2.95594    1.97980    0.94940
   0.11584    2.40963    0.84346    0.35040   -0.62178   -0.47215   -0.65406    0.28074   -0.25131   -3.62637   -2.77882    2.66668    2.74761    3.23458   -0.23305   -0.07164   -9.63616   -6.63646   -1.18282   -7.18019    3.48414   -5.09516   -5.50056    3.81359   11.64624   -0.00195    3.27592   -7.73611   -0.59017   -2.45637   -1.21179    2.95594    1.97980    0.94940
  -0.04493    0.82954   -0.84055   -2.84390   -1.89566   -0.20870    2.15850   -4.32462   -0.08031    0.64313    1.07132    6.67130   -0.27670   -2.05641    0.11513   -0.48099    9.83850    6.88154   -5.65971   -0.52077  -11.83355   -6.44995   -9.35753   -2.51245    3.95464    2.88442   -9.00609   -9.45752    1.73120   -0.05600    5.80013   -7.45569   -0.67753   -0.06268
  -0.04493    0.82954   -0.84055   -2.84390   -1.89566   -0.20870    2.15850   -4.32462   -0.08031    0.64313    1.07132    6.67130   -0.27670   -2.05641    0.11513   -0.48099    9.83850    6.88154   -5.65971   -0.52077  -11.83355   -6.44995   -9.35753   -2.51245    3.95464    2.88442   -9.00609   -9.45752    1.73120   -0.05600    5.80013   -7.45569   -0.67753   -0.06268
   0.03660    3.69400    0.21335   -3.74467   -2.45085   -0.60013    0.28698   -6.93126   -0.32619   -4.26620    4.80211   -5.09064   -0.99116    7.87241    0.03419   -0.77200   -4.33475   -6.14934    4.30984    0.28504    0.49435    8.02522    5.60062    3.06952   -3.86331    1.38571    3.25109    3.60587    2.91978   -0.62104    2.89063   -7.90226   -0.89534   -0.31570
  -0.23370   -2.05337   -3.63003   -2.39516   -1.89607    1.36615    2.96786   -2.70784    0.09212    2.24105    3.97006    2.73238   -4.07219   11.53557   -1.53858    0.06766   -9.50886    9.48296    5.16482   -6.47981   -9.52393   -9.06898   -2.38181    5.88090   -5.71120    9.78809   -2.81091    7.51741    2.60254   -2.16880   -2.89627    2.69570   -0.29577   -0.36759
